unique_name,strongs,founder,people_group,latitude,lat,longitude,long,bcv_id
Atroth-beth-joab@1Ch.2.54,H5854,,,0,,14z,,1ch.2.54
Atroth-shophan@Num.32.35,H5855,,,31.9617,31.9,35.9115,35.9,num.32.35
Attalia@Act.14.25,G0825,,,36.88082580070078,36.8,30.69456557778969,30.6,act.14.25
Aven_Valley@Amo.1.5,H0206G,,,34.006944,34.0,36.203889,36.2,amo.1.5
Avith@Gen.36.35,H5762,,,30.734691,30.7,35.606250,35.6,gen.36.35
Ivvah@2Ki.17.24,H5755,,,34.467725,34.4,41.964955,41.9,2ki.17.24
Avvim@Jos.18.23,H5761H,,,31.53577362133176,31.5,35.09409986578734,35.0,jos.18.23
Azal@Zec.14.5,H0682B,,,31.77809503341373,31.7,35.2471976093501,35.2,zec.14.5
Azekah@Jos.10.10,H5825,,,31.70063856043753,31.7,34.93618589974822,34.9,jos.10.10
Azmon@Num.34.4,H6111,,,30.958506,30.9,34.380500,34.3,num.34.4
Aznoth-tabor@Jos.19.34,H0243,,,32.68695640243183,32.6,35.39091304299688,35.3,jos.19.34
Baalah@Jos.15.29,H1173H,,,31.24495217357714,31.2,34.8408885849849,34.8,jos.15.29
Baalah_Mount@Jos.15.11,H1173G,,,31.865518,31.8,34.746856,34.7,jos.15.11
Baalath@Jos.19.44,H1191G,,,31.927451,31.9,35.055378,35.0,jos.19.44
Baalath@1Ki.9.18,H1191H,,,31.927451,31.9,35.055378,35.0,1ki.9.18
Baalath-beer@Jos.19.8,H1192,,,32.049953,32.0,35.733402,35.7,jos.19.8
Baal-hazor@2Sa.13.23,H1178,,,31.979434,31.9,35.279229,35.2,2sa.13.23
Baal-meon@Num.32.3,H1186,,,31.679454,31.6,35.734892,35.7,num.32.3
Baal-perazim@2Sa.5.20,H1188,,,31.756332,31.7,35.223059,35.2,2sa.5.20
Baal-shalishah@2Ki.4.42,H1190,,,32.029737,32.0,35.222604,35.2,2ki.4.42
Baal-tamar@Jdg.20.33,H1193,,,31.82378102460309,31.8,35.23100936128631,35.2,jdg.20.33
Baal-zephon@Exo.14.2,H1189,,,29.938441,29.9,32.395473,32.3,exo.14.2
Babylon@Gen.10.10,H0894,,,32.53650368616845,32.5,44.42088287373876,44.4,gen.10.10
Bahurim@2Sa.3.16,H0980,,,31.824736,31.8,35.388486,35.3,2sa.3.16
Bajith@Isa.15.2,H1006,Word sometimes translated as a place,,31.49684513710609,31.4,35.78284105296996,35.7,isa.15.2
Balah@Jos.19.3,H1088,,,31.24495217357714,31.2,34.8408885849849,34.8,jos.19.3
Bamoth@Num.21.19,H1120G,,,31.76503129703305,31.7,35.71856575741812,35.7,num.21.19
Bamoth-baal@Num.22.41,H1120H,,,31.76503129703305,31.7,35.71856575741812,35.7,num.22.41
Bashan@Num.21.33,H1316,,,32.80007552505443,32.8,35.93730130476259,35.9,num.21.33
Bath-rabbim@Sng.7.4,H1337,,,31.80052000870321,31.8,35.80901866717255,35.8,sng.7.4
Beautiful_Gate@Act.3.2,G5611,,,31.777444,31.7,35.234935,35.2,act.3.2
Beer@Num.21.16,H0876G,,,30.998062,30.9,35.498547,35.4,num.21.16
Beer-elim@Isa.15.8,H0879,,,30.998062,30.9,35.498547,35.4,isa.15.8
Beer-lahai-roi@Gen.16.14,H0883,,,30.68771281376111,30.6,34.49479554246946,34.4,gen.16.14
Beeroth@Jos.9.17,H0881G,,,31.90007449127097,31.9,35.21668800602465,35.2,jos.9.17
Beersheba@Gen.21.14,H0884,,,31.24495217357714,31.2,34.8408885849849,34.8,gen.21.14
Bene-berak@Jos.19.45,H1139,,,32.035782,32.0,34.827108,34.8,jos.19.45
Bene-jaakan@Num.33.31,H1142G,,,30.317396,30.3,35.407152,35.4,num.33.31
Benjamin_Gate@Jer.20.2,H1144L,,,31.777444,31.7,35.234935,35.2,jer.20.2
Benjamin_Gate@Zec.14.10,H1144M,,,31.777444,31.7,35.234935,35.2,zec.14.10
Beracah_Valley@2Ch.20.26,H1294H,,,31.610650,31.6,35.165648,35.1,2ch.20.26
Berea@Act.17.10,G0960,,,40.5167,40.5,22.2,22.2,act.17.10
Bered@Gen.16.14,H1260G,,,30.68771281376111,30.6,34.49479554246946,34.4,gen.16.14
Berothah@2Sa.8.8,H1268A,,,33.931480,33.9,36.152049,36.1,2sa.8.8
Besor@1Sa.30.9,H1308,,,31.398056,31.3,34.436667,34.4,1sa.30.9
Betah@2Sa.8.8,H0984,,,33.931480,33.9,36.152049,36.1,2sa.8.8
Beten@Jos.19.25,H0991,,,32.934736,32.9,35.270799,35.2,jos.19.25
Beth-anath@Jos.19.38,H1043,,,33.146864,33.1,35.427134,35.4,jos.19.38
Beth-anoth@Jos.15.59,H1042,,,31.558456,31.5,35.124483,35.1,jos.15.59
