unique_name,qualifer,significance,estrong,dstrong,original,esv_name
Arpad@2Ki.18.34,,- Named,H0774,H0774,אַרְפַּד,Arpad
Arubboth@1Ki.4.10,,- Named,H0700,H0700,אֲרֻבּוֹת,Arubboth
Arumah@Jdg.9.41,,- Named,H0725,H0725,אֲרוּמָה,Arumah
Arumah@Jdg.9.41,Rumah,- Named,H7316H,H7316,רוּמָה,Rumah
Arvad@Ezk.27.8,,- Named,H0719,H0719,אַרְוַד,Arvad
Ashan@Jos.15.42,,- Named,H6228,H6228,עָשָׁן,Ashan
Ashdod@Jos.11.22,,- Named,H0795,H0795,אַשְׁדּוֹד,Ashdod
Ashdod@Jos.11.22,,- Spelled,H0796,H0796,אַשְׁדּוֹדִי,Ashdod
Ashdod@Jos.11.22,,- (same as previous),H0796,H0796,אַשְׁדּוֹדִי,Ashdodite
Ashdod@Jos.11.22,,- Spelled,H0797,H0797,אַשְׁדּוֹדִית,Ashdod
Ashdod@Jos.11.22,Azotus,Greek,G0108,G0108,Ἄζωτος,Azotus
Ashkelon@Jos.13.3,,- Named,H0831,H0831,אַשְׁקְלוֹן,Ashkelon
Ashkelon@Jos.13.3,,- Spelled,H0832,H0832,אֶשְׁקְלוֹנִי,Ashkelon
Ashkenaz@Jer.51.27,,- Named,H0813H,H0813,אַשְׁכְּנַז,Ashkenaz
Ashnah@Jos.15.33,,- Named,H0823,H0823,אַשְׁנָה,Ashnah
Ashtaroth@Deu.1.4,,- Named,H6252,H6252,עַשְׁתָּרוֹת,Ashtaroth
Ashtaroth@Deu.1.4,Beeshterah,- Named,H1203,H1203,בְּעֶשְׁתְּרָה,Beeshterah (NIV= Be Eshterah)
Ashtaroth@Deu.1.4,,- Group,H6254,H6254,עַשְׁתְּרָתִי,Ashterathite
Ashteroth-karnaim@Gen.14.5,,- Named,H6255,H6255,עַשְׁתְּרֹת קַרְנַיִם,"Ashteroth-karnaim (KJV, NIV= Ashteroth Karnaim)"
Ashteroth-karnaim@Gen.14.5,Karnaim,- Named,H7161B,H7161b,קַרְנַ֫יִם,Karnaim
Asia@Act.2.9,,- Named,G0773,G0773,Ἀσία,Asia
Asia@Act.2.9,,- Group,G0774,G0774,Ἀσιανός,Asian
Assos@Act.20.13,,- Named,G0789,G0789,Ἄσσος,Assos
Assyria@Gen.2.14,,- Named,H0804G,H0804,אַשּׁוּר,Assyria
Assyria@Gen.2.14,,- (same as previous),H0804G,H0804,אַשּׁוּר,Assyrian
Assyria@Gen.2.14,Asshur,- (same as previous),H0804G,H0804,אַשּׁוּר,Asshur (NIV= Ashur)
Atad@Gen.50.10,,- Named,H0329G,H0329,אָטָד,Atad
Atad@Gen.50.10,Abel-mizraim,- Named,H0067,H0067,אָבֵל מִצְרַיִם,Abel-mizraim (NIV= Abel Mizraim)
Ataroth@Num.32.3,,- Named,H5852G,H5852,עֲטָרוֹת,Ataroth
Ataroth@Jos.16.2,,- Named,H5852H,H5852,עֲטָרוֹת,Ataroth
Ataroth-addar@Jos.16.5,,- Named,H5853,H5853,עַטְרוֹת אַדָּר,Ataroth-addar (NIV= Ataroth Addar)
Athach@1Sa.30.30,,- Named,H6269,H6269,עֲתָ֑ךְ,Athach (NIV= Athak)
Atharim@Num.21.1,,- Named,H0871,H0871,אֲתָרִים,Atharim
Athens@Act.17.15,,- Named,G0116,G0116,Ἀθῆναι,Athens
Athens@Act.17.15,,- (same as previous),G0116,G0116,Ἀθῆναι,[ ] (KJV= Athens)
Athens@Act.17.15,,- Group,G0117,G0117,Ἀθηναῖος,Athenian
Athens@Act.17.15,,- (same as previous),G0117,G0117,Ἀθηναῖος,Athens
