from_unique_name,to_bcv_id
Antioch@Act.6.5,act.6.5
Antioch@Act.13.14,act.13.14
Antioch@Act.13.14,act.14.19
Antioch@Act.13.14,act.14.21
Antioch@Act.13.14,2ti.3.11
Antipatris@Act.23.31,act.23.31
Aphek@Jos.12.18,jos.12.18
Aphek@Jos.12.18,1sa.4.1
Aphek@Jos.12.18,1sa.29.1
Aphek@Jos.12.18,jos.15.53
Aphek@Jos.13.4,jos.13.4
Aphek@Jos.13.4,jos.19.30
Aphek@Jos.13.4,jdg.1.31
Aphek@1Ki.20.26,1ki.20.26
Aphek@1Ki.20.26,1ki.20.30
Aphek@1Ki.20.26,2ki.13.17
Apollonia@Act.17.1,act.17.1
Ar@Num.21.15,num.21.15
Ar@Num.21.15,num.21.28
Ar@Num.21.15,deu.2.9
Ar@Num.21.15,deu.2.18
Ar@Num.21.15,deu.2.29
Ar@Num.21.15,isa.15.1
Arab@Jos.15.52,jos.15.52
Arabah@Deu.1.1,deu.1.1
Arabah@Deu.1.1,deu.1.7
Arabah@Deu.1.1,deu.2.8
Arabah@Deu.1.1,deu.3.17
Arabah@Deu.1.1,deu.4.49
Arabah@Deu.1.1,deu.11.30
Arabah@Deu.1.1,jos.8.14
Arabah@Deu.1.1,jos.11.2
Arabah@Deu.1.1,jos.11.16
Arabah@Deu.1.1,jos.12.1
Arabah@Deu.1.1,jos.12.3
Arabah@Deu.1.1,jos.12.8
Arabah@Deu.1.1,jos.18.18
Arabah@Deu.1.1,1sa.23.24
Arabah@Deu.1.1,2sa.2.29
Arabah@Deu.1.1,2sa.4.7
Arabah@Deu.1.1,2ki.25.4
Arabah@Deu.1.1,jer.39.4
Arabah@Deu.1.1,jer.52.7
Arabah@Deu.1.1,ezk.47.8
Arabah@Deu.1.1,isa.33.9
Arabah@Deu.1.1,zec.14.10
Arabia@2Sa.23.35,2ch.9.14
Arabia@2Sa.23.35,jer.25.24
Arabia@2Sa.23.35,ezk.27.21
Arabia@2Sa.23.35,1ki.10.15
Arabia@2Sa.23.35,isa.21.13
Arabia@2Sa.23.35,isa.21.13
Arabia@2Sa.23.35,ezk.30.5
Arabia@2Sa.23.35,2ch.17.11
Arabia@2Sa.23.35,2ch.21.16
Arabia@2Sa.23.35,2ch.22.1
Arabia@2Sa.23.35,2ch.26.7
Arabia@2Sa.23.35,neh.2.19
Arabia@2Sa.23.35,neh.4.7
Arabia@2Sa.23.35,neh.6.1
Arabia@2Sa.23.35,neh.2.1
Arabia@2Sa.23.35,isa.13.20
Arabia@2Sa.23.35,jer.3.2
Arabia@2Sa.23.35,2sa.23.35
Arabia@2Sa.23.35,gal.1.17
Arabia@2Sa.23.35,gal.4.25
Arabia@2Sa.23.35,act.2.11
Arad@Num.21.1,num.21.1
Arad@Num.21.1,num.33.40
Arad@Num.21.1,jos.12.14
Arad@Num.21.1,jdg.1.16
Aram-maacah@1Ch.19.6,1ch.19.6
Aram-naharaim@Psa.60.1,psa.60.1
Aram-zobah@Psa.60.1,psa.60.1
Ararat@Gen.8.4,gen.8.4
Ararat@Gen.8.4,2ki.19.37
Ararat@Gen.8.4,isa.37.38
Ararat@Gen.8.4,jer.51.27
Areopagus@Act.17.19,act.17.19
Areopagus@Act.17.19,act.17.22
Areopagus@Act.17.19,act.17.34
Argob@Deu.3.4,deu.3.4
Argob@Deu.3.4,deu.3.13
Argob@Deu.3.4,deu.3.14
Argob@Deu.3.4,1ki.4.13
Arnon@Num.21.13,num.21.13
Arnon@Num.21.13,num.21.13
Arnon@Num.21.13,num.21.14
Arnon@Num.21.13,num.21.24
Arnon@Num.21.13,num.21.26
Arnon@Num.21.13,num.21.28
Arnon@Num.21.13,num.22.36
Arnon@Num.21.13,deu.2.24
Arnon@Num.21.13,deu.2.36
Arnon@Num.21.13,deu.3.8
Arnon@Num.21.13,deu.3.12
Arnon@Num.21.13,deu.3.16
Arnon@Num.21.13,deu.4.48
Arnon@Num.21.13,jos.12.1
Arnon@Num.21.13,jos.12.2
Arnon@Num.21.13,jos.13.9
Arnon@Num.21.13,jos.13.16
Arnon@Num.21.13,jdg.11.13
Arnon@Num.21.13,jdg.11.18
Arnon@Num.21.13,jdg.11.18
Arnon@Num.21.13,jdg.11.22
Arnon@Num.21.13,jdg.11.26
Arnon@Num.21.13,2ki.10.33
Arnon@Num.21.13,isa.16.2
Arnon@Num.21.13,jer.48.20
Aroer@Num.32.34,num.32.34
Aroer@Num.32.34,jos.13.25
Aroer@Num.32.34,jdg.11.33
Aroer@Num.32.34,2sa.24.5
Aroer@Num.32.34,1ch.5.8
Aroer@Num.32.34,isa.17.2
Aroer@Num.32.34,1ch.11.44
Aroer@Deu.2.36,deu.2.36
Aroer@Deu.2.36,deu.3.12
Aroer@Deu.2.36,deu.4.48
Aroer@Deu.2.36,jos.12.2
Aroer@Deu.2.36,jos.13.9
Aroer@Deu.2.36,jos.13.16
Aroer@Deu.2.36,jdg.11.26
Aroer@Deu.2.36,2ki.10.33
Aroer@Deu.2.36,jer.48.19
Aroer@1Sa.30.28,1sa.30.28
Arpad@2Ki.18.34,2ki.18.34
Arpad@2Ki.18.34,2ki.19.13
Arpad@2Ki.18.34,isa.10.9
Arpad@2Ki.18.34,isa.36.19
Arpad@2Ki.18.34,isa.37.13
Arpad@2Ki.18.34,jer.49.23
Arubboth@1Ki.4.10,1ki.4.10
Arumah@Jdg.9.41,jdg.9.41
Arumah@Jdg.9.41,2ki.23.36
Arvad@Ezk.27.8,ezk.27.8
Arvad@Ezk.27.8,ezk.27.11
Ashan@Jos.15.42,jos.15.42
Ashan@Jos.15.42,jos.19.7
Ashan@Jos.15.42,1ch.4.32
Ashan@Jos.15.42,1ch.6.59
Ashdod@Jos.11.22,jos.11.22
